,Unnamed: 0,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1112,1112,0.0,4,1.0,1.0,78757.0,1,3,6,2.0,3.0,4.0,3,120,"1,500.00 ",110.0,0,11,41,316,8,95.0,0,3,0,0
1113,1113,0.0,6,1.0,1.0,78757.0,1,3,10,2.0,3.0,3.0,3,300,600.00 ,150.0,0,0,0,0,3,100.0,0,2,0,0
1114,1114,0.0,5,1.0,1.0,78757.0,1,3,4,1.0,2.0,2.0,3,150,,40.0,4,11,19,19,7,100.0,0,2,1,1
1115,1115,0.0,4,1.0,1.0,78758.0,1,3,2,1.0,1.0,1.0,3,115,95.00 ,30.0,0,0,0,0,0,,0,1,0,0
1116,1116,0.0,3,1.0,0.0,78757.0,1,3,6,2.5,2.0,3.0,3,550,800.00 ,,0,0,0,0,0,,0,3,0,0
1117,1117,0.0,3,1.0,0.0,78757.0,1,3,4,1.0,2.0,3.0,3,110,400.00 ,30.0,0,0,2,249,34,90.0,0,1,0,0
1118,1118,0.0,4,1.0,1.0,78757.0,1,3,4,2.0,2.0,2.0,3,74,"1,000.00 ",95.0,5,9,39,314,0,,1,3,0,0
1119,1119,0.0,4,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,67,,45.0,29,59,89,364,6,100.0,0,1,0,0
1120,1120,0.0,4,1.0,0.0,78757.0,1,3,4,1.0,1.0,2.0,3,75,,,0,0,10,10,2,90.0,0,2,1,1
1121,1121,1.0,4,1.0,1.0,78757.0,1,3,9,2.0,4.0,4.0,3,1000,250.00 ,200.0,23,53,83,173,0,,0,3,0,0
1122,1122,0.0,3,1.0,0.0,78757.0,1,3,4,1.5,2.0,2.0,3,60,,15.0,3,3,18,18,2,100.0,1,2,0,0
1123,1123,0.0,4,1.0,0.0,78752.0,1,3,3,1.0,1.0,1.0,3,100,,,0,0,0,0,1,80.0,0,1,0,0
1124,1124,0.0,1,1.0,0.0,78728.0,1,2,2,,1.0,,0,110,,10.0,30,60,90,365,0,,0,3,0,0
